territory,region_block,dominant_category,categories_present,site_count,row_count,main_universe,weak_fit_core,single_store_used_booksellers,single_store_bookstore_layer,single_store_used_bookstore_signal,annex_classifieds,used_book_signal_note,offline_fair_literacy_layer,confidence_mix,territory_profile,notes_compact
Rwanda,Great Lakes / East Africa,single-store bookstore layer,annex / classifieds; single-store bookstore layer; single-store used bookseller; weak-fit core,8,8,0,2,0,4,0,1,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,high:1; low-medium:1; medium:5; medium-high:1,"Rwanda has a real used-book and bookstore layer centered on Patchwork, Ikirezi and online/local stores, but no verified book-specific multi-seller used marketplace in this pass.","Deepen Patchwork buy/trade mechanics, The First Page/book exchange, Kigali social resale groups, and any seller-onboarding surface."
Réunion,Indian Ocean / Réunion,annex / classifieds,annex / classifieds; annex / horizontal secondhand retail; offline fair/literacy layer; single-store used bookseller; single-store used bookstore signal; weak-fit book retail shadow; weak-fit core,13,13,0,1,0,0,0,5,"Pass134 confirms a strong Réunion used-book ecology: very high-volume leboncoin book classifieds, Bourbonlivre used/antiquarian ecommerce, Cash Converters local book resale, ParuVendu classifieds, L’Accent du Sud and Ellipsis used-bookstores, plus pre-existing Facebook/social groups. No standalone book-specific third-party used marketplace verified.",0,high:2; low-medium:1; medium:7; medium-high:3,"Réunion has unusually dense used-book circulation for its size: high-volume horizontal classifieds, a book-specific used/antiquarian online shop, local used-bookstores/bouquineries, chain secondhand retail and several social exchange/sale groups. Strict-main promotion remains blocked because the strongest multi-seller rail is horizontal and the book-specific used ecommerce appears single-operator.","Pass134 hardened Réunion: leboncoin volume refreshed; Bourbonlivre, Cash Converters, ParuVendu, L’Accent du Sud, Ellipsis and Sète à Lire added; downgraded to targeted medium cleanup only."
Saba,Caribbean,offline / fair / literacy layer,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,4,4,0,0,0,0,1,1,,2,medium:4,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",very thin marketplace depth
Saint-Barthélemy,Caribbean,offline / fair / literacy layer,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,8,8,0,0,0,0,3,2,,3,medium:8,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",very weak specialist marketplace depth; meaningful bookstore + library + festival + exchange infrastructure
Saint-Martin (French side),Caribbean,single-store used / bookstore signal,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,6,6,0,0,0,0,3,1,,2,medium:6,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",no strong specialist marketplace depth; real bookstore layer; real classifieds annex; strong literary / fair / educational infrastructure
San Marino,Central Mediterranean,offline / fair / literacy layer,offline / fair / literacy layer; single-store bookstore layer; single-store used / bookstore signal,3,3,0,0,0,1,1,0,,1,high:3,Territory anchored mainly by bookstore layer rather than marketplace depth.,"National/state library and cultural-reading infrastructure for San Marino. || Online bookstore and physical bookshop in Borgo Maggiore, San Marino; exact bookstore-layer anchor. || Cosmo explicitly offers used books and exchange service; retained below weak-fit as store-owned used-book signal."
Saudi Arabia,Gulf / Arabian Peninsula,weak-fit core,annex / classifieds; annex / social resale; main-universe candidate / current-status hold; offline / fair / literacy layer; single-store used / bookstore signal; single-store used booksellers; weak-fit core,27,27,0,8,7,0,1,4,"Pass117 strict-recommerce patch: Saudi has rich used-book signals, Mrrha horizontal recommerce with book roots, Rofoof book-specific used-platform lineage, and multiple single-store used/rare booksellers. Jarir/Darussalam/WBCO are ecosystem spine but not strict used/recommerce marketplace rows.",5,high:15; low:1; medium:7; medium-high:3; medium-low:1,"Hardened targeted-revisit territory. Saudi Arabia has strong book-retail/publisher/distribution infrastructure and active used-book resale texture, but strict book-specific recommerce remains unresolved pending Rofoof/Mrrha/Kitabi-Lak current-platform proof.","Pass117 demoted legacy new-book retail rails from strict main, added Mrrha and Rofoof as the key recommerce/reuse seams, added Salla/Instagram used-book specialists and Haraj/social annex rows, and reduced Saudi from broad high revisit to targeted medium-high."
Senegal,West Africa,main universe,annex / classifieds; main universe; single-store bookstore layer,5,5,2,0,0,1,0,2,"main universe: La Bouquinerie, Bëgg Lire | annex / classifieds: Jiji Senegal — Livres & Jeux, CoinAfrique Senegal — DVDs, CDs & Livres",0,high:4; medium:1,Strict main-universe / used-book or book-specific marketplace territory under South America-style definition.,Runtime-gap bridge reconstruction pass. Rows are web-reverified in this chat and do not recover exact missing 2026-04-24 chat-only rows.
Serbia,CEE/Balkans,weak-fit core / annex-horizontal with single-store used depth,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal; single-store used bookseller; weak-fit core,16,16,0,3,5,0,2,5,"Pass190 hardened Serbia from a seven-row pass149 opening into a fuller no-strict-main profile: KP/Halo/Goglasi/Facebook horizontal rails; Kupindo/Limundo weak-fit book-category marketplaces; PolovneKnjigeSrbija, Knjiga na dlanu, Antikvarne-knjige.com, Knjizara.com Antikvarnica, Obradovic, Sigedon, Otkupknjiga and Kuca za sunce as operator/store/antiquarian layers.",1,high:10; medium-high:4; medium:2,High-activity Serbia no-strict-main territory: large horizontal classifieds/auction marketplace book surfaces and dense single-store/antiquarian used-book ecosystem; no confirmed standalone Serbia-native book-specific third-party marketplace.,Pass190 Serbia targeted hardening. Do not promote KP/Kupindo/Limundo/Halo/Goglasi/Facebook to strict-main; preserve as weak-fit/annex. Belgrade Book Fair Hall 4 used/antiquarian layer added.
Seychelles,Indian Ocean / Seychelles,annex / classifieds,annex / classifieds; main universe; single-store bookstore layer; weak-fit core,13,13,1,1,0,5,0,6,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,high:1; low:1; low-medium:5; medium:3; medium-high:1; medium-low:2,"Seychelles retains one strict-main candidate: The Dusty Collection, a Seychelles secondhand/pre-loved online bookshop with cart/account inventory, local delivery note, and Sell Your Books path. Added Antigone, Giraffe, Royal, Mortar Fist, Ubuy and Rebuydeal/BSSB social-classifieds depth, none promoted to strict main.","Targeted reopen only for Dusty third-party seller onboarding or stronger buyback terms, new Seychelles-native book-specific used/recommerce rails, or proof that social/classifieds rows have platformized beyond ordinary horizontal listings."
Sierra Leone,West Africa,annex / classifieds,annex / classifieds; single-store bookstore layer; weak-fit core,8,8,0,1,0,3,0,4,Used-book signal is currently general/social-classifieds only: Facebook Marketplace Freetown explicitly presents new and used books; no dedicated book-specific used marketplace confirmed.,0,high:1; low:1; medium:6,Weak-fit/classifieds-led market with bookstore and author-direct layers. Keep outside main universe until a dedicated used-book marketplace or multi-seller book-specific rail is verified.,"Compact pass 1 found no strict main-universe site. Next revisit should focus on Freetown student textbook resale, WhatsApp/Facebook groups, Instagram thrift-book sellers, and any Salone-specific book category inside Salone Goo."
Singapore,Southeast Asia,weak-fit core,weak-fit core,2,2,0,2,0,0,0,0,,0,medium:2,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Recovered from frontier shorthand 'Bookshop.sg + Thryft + huge Carousell overflow'.
Sint Eustatius,Caribbean,offline / fair / literacy layer,offline / fair / literacy layer; single-store used / bookstore signal,2,2,0,0,0,0,1,0,,1,medium:2,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",extremely thin marketplace depth
Sint Maarten,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,4,4,0,0,0,0,1,2,,1,medium:4,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",bookstore + general-marketplace + literacy/fair
Slovakia,CEE/Baltics,annex / classifieds,annex / classifieds; main universe; single-store bookstore layer; weak-fit core,7,7,2,1,0,1,0,3,Pass150 opened Slovakia from zero row surface. Strong strict/main operator-managed recommerce exists through Bookbot/Knihobot and Restorio/Vykupujeme-online. Martinus and Gorila add retailer used-book layers; Bazoš/Bazar/Aukro preserve horizontal classifieds/auction topology only. Restorio/Vykupujeme-online provides explicit ISBN-based seller intake evidence.,0,high:6; medium-high:1,"Zero-surface territory opened into a strong strict/main book-recommerce profile, anchored by operator-managed used-book resale/buyback platforms plus horizontal classifieds spillover.",Pass150 Slovakia-only zero-surface opening. Keep future revisits targeted: ISBN/detail capture and genuinely new Slovakia-native book-specific peer/exchange rails.
Slovenia,CEE/Balkans,single-store used booksellers,annex / classifieds; single-store used booksellers; weak-fit core,12,12,0,1,9,0,0,2,"Pass194 confirmed rich used-book and antiquarian operator depth and textbook-specific e-commerce, but no standalone book-specific marketplace/seller rail.",0,high:9; medium-high:3,Slovenia targeted hardening: dense operator/antikvariat and used-textbook layer plus massive Bolha horizontal book-category surface; no verified Slovenia-native book-specific third-party recommerce marketplace.,"Pass194 backfilled URLs for all four prior Slovenia rows and added operator used-book/antikvariat/textbook surfaces. Bolha has very deep current books listings, but remains horizontal/classifieds; no strict-main promotion."
Somalia / Somaliland,Horn of Africa,single-store bookstore layer,annex / classifieds; single-store bookstore layer; weak-fit core,8,8,0,2,0,4,0,2,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,high:1; low-medium:1; medium:5; medium-high:1,"Somalia/Somaliland has real online bookstore infrastructure, especially Sahanbooks and Book Shop Somalia, plus general marketplace apps; no strict used-book marketplace confirmed.",Separate Somalia vs Somaliland in a future deep pass; harden Suuqa/SoBigDeal book categories and Sahanbooks local fulfillment.
South Africa,Southern Africa,offline / fair / literacy layer,annex / classifieds; main universe; offline / fair / literacy layer; single-store bookstore layer; single-store used / bookstore signal; single-store used booksellers; weak-fit core,154,154,9,14,17,10,10,12,"Strong online secondhand, student-textbook, auction, collector, antiquarian, charity-bookshop, friends-of-library, and indie used/specialist rails are present alongside literacy, school-library, mobile-library, community-library, multilingual-children's-book, and accessible-reading infrastructure.",82,high:127; medium:27,"tail giant main-universe market / national retail plus used-book recommerce plus auctions plus academic-specialist plus charity-bookshop, school-library, mobile-library, community-library, multilingual children's-book, accessibility, volunteer-library, and distribution infrastructure","South Africa remains active_open from file-backed state. This continuation adds South Africa Reads; Nwala Foundation; Nwala Foundation A Village, A Story; TAQA; and kibooks.online. Do not force closure; continue province-level plus library-sale / NGO / accessibility decomposition. Pass43 hardening promotes Bookle, BooksOnApp, and Wize Books Secondhand to strict main-universe status; all three show dedicated buy/sell second-hand or pre-owned book marketplace mechanics."
South Korea,East Asia,main universe,annex / classifieds; main universe; offline / fair / literacy layer; used-book signal (territory note); weak-fit core,8,8,3,2,0,0,0,1,"Strong, but mostly internalized inside Aladin and YES24; no separate national antiquarian / used-only spine was verified strongly enough to promote in this pass.",1,high:6; medium:2,"Closed result: South Korea is a clear main-universe territory dominated by three major online-book rails. The used-book / recommerce seam is structurally important but is mostly internalized by Aladin and YES24, with Daangn as horizontal spillover rather than a separate book-first core.","South Korea is now closed after pass 2. The dominant triad remains decisive, Aladin and YES24 absorb most of the verified used-book depth, and Daangn is retained as annex rather than promoted into core."
South Sudan,Nile / Northeast Africa,single-store bookstore layer,single-store bookstore layer; single-store used / bookstore signal,7,7,0,0,0,4,3,0,"South Sudan has used/gently-read and buy/sell signals through Ramciel, Yo’ Books, Leaves, and Juba Online Books, but the evidence is still social/single-store rather than a dedicated multi-seller used-book marketplace.",0,high:1; medium:6,Sparse but real online-bookstore and used-bookshop signal territory; not strict main universe.,"First file-backed South Sudan pass after runtime-gap bridge. Kakule is the strongest official online bookstore; several Juba social/bookshop surfaces show buy/sell/gently-read/new-used signals, but no strict marketplace promotion yet."
Spain,Iberia,main universe,annex / classifieds; legacy / closed marketplace; main universe; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,24,24,5,6,4,1,0,2,"Pass182: Spain hardened into a mature strict-main Iberian recommerce territory. Strict/main anchors: IberLibro, Uniliber, Relibrea, QuieroLibros, Biblio.es. Retailer/operator and horizontal layers retained separately.",5,high:17; medium:1; medium-high:6,"Mature strict-main book-recommerce territory with parallel retailer/operator buyback, horizontal classifieds, independent-bookstore infrastructure, and major offline antiquarian/occasion-book fair layers.","Pass182 Spain hardening: resolved pending-backfill Iberia matrix rows; added Relibrea, QuieroLibros, Biblio.es, Hamelyn, Fnac Segunda Vida, Re-Read, Reciclibros, Plataforma del Estudiante, Milanuncios, Madrid/Barcelona used-book fairs, Booky, and Bolsabooks legacy. Broad Spain search can pause; targeted ISBN/detail extraction remains useful."
Sri Lanka,South Asia,annex / classifieds,annex / classifieds; annex / social resale; main universe; single-store used-bookseller; weak-fit core,15,15,4,1,0,0,0,5,Book Swap Colombo; Buy & Sell Used Books - Sri Lanka,0,high:9; medium:1; medium-high:5,"Strict-main / book-specific resale or exchange platform territory. | Pass113 closes Sri Lanka residual by adding SaleMe, ItemAds, Facebook Marketplace Colombo, and a book-specific Facebook buy/sell group as annex/social texture only; strict core unchanged and exit-ready with named revisit holds.","Pass113 residual hardening: no strict-main changes. SaleMe and ItemAds add horizontal book/textbook classifieds texture; Facebook Marketplace Colombo and Buy & Sell Used Books - Sri Lanka add social/horizontal resale texture. BookExchange.lk, BookSwap.lk, and 2ndhandbooks.lk remain the strict/main candidates; 2ndhandbooks retains operator-mediated caveat."
St. Kitts and Nevis,Caribbean,offline / fair / literacy layer,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,5,5,0,0,0,0,2,1,,2,medium:5,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",small retail + literacy
St. Lucia,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,3,3,0,0,0,0,1,1,,1,medium:3,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",literary-event heavy
St. Vincent and the Grenadines,Caribbean,single-store used / bookstore signal,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,6,6,0,0,0,0,3,1,,2,medium:6,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",bookstore + literacy layer
Sudan,Nile / Northeast Africa,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers,7,7,0,0,1,2,0,2,"Sudan has real used-book signals through OpenSooq books/new-used/rare listings, Al Khartoum used books, and the historical Mafroosh used-book street-market seam, but no confirmed book-specific multi-seller used-book marketplace was promoted.",2,high:1; medium:4; medium-high:2,Weak/classifieds plus single-store/social used-book layer; not strict main universe.,"First file-backed Sudan pass after runtime-gap bridge. Capture as a real but disrupted/fragile used-book ecosystem with OpenSooq spillover, Khartoum used-book social surfaces, bookstore traces, and literacy reuse evidence; do not promote to strict core without seller/onboarding platform proof."
Suriname,Caribbean / Northern South America,annex / classifieds,annex / classifieds; annex / social classifieds; single-store used booksellers; weak-fit core,6,6,0,1,1,0,0,4,"Suriname has visible used-book social/classifieds texture and real single-operator book-circularity infrastructure: Facebook Marketplace books, a dedicated second-hand-books Facebook group, Via2000/ViaMarkt horizontal classifieds, Atlantis used/new book ordering and used-book buying signal, and Boekenportaal ordering/discovery links to low-priced second-hand books. No standalone book-specific used/recommerce marketplace verified. ISBN rule applied; no ISBN values captured.",0,high:3; medium-high:2; medium:1,Suriname opened as a conservative Caribbean/Northern South America surface dominated by social/horizontal classifieds plus single-operator/nonprofit book-ordering infrastructure; strict-main remains empty.,"Pass156 zero-surface opening added Facebook Marketplace Books, tweedehandse boeken in Suriname Facebook group, Via2000 Boeken algemeen, ViaMarkt book-adjacent categories, Atlantis Books and More, and Boekenportaal Suriname. No strict-main promotion; targeted revisit only."
Sweden,Nordics,single-store used booksellers,annex / classifieds; annex / horizontal marketplace; annex / social classifieds; annex / social marketplace; comparator / discovery infrastructure; main universe; single-store used booksellers; weak-fit core,19,19,6,1,7,0,0,3,"Pass169 converted Sweden from one skeletal Bokbörsen row into a mature strict-main Nordic recommerce territory. Strict-main rails now include Bokbörsen, Bookis Sweden, Campusbokhandeln/Adlibris Campus, Studentapan, Antikvariat.net Sweden/Scandinavia scope, and Bokliv. Tradera, Blocket, Facebook Marketplace, and Sweden Second-Hand Book Trade remain annex/social-horizontal texture. ISBN rule applied with Bokbörsen and Studentapan sample ISBNs.",0,high:12; medium:2; medium-high:5,"Mature strict-main Nordic used-book/recommerce ecosystem with Sweden-native book-specific marketplace depth, textbook resale rails, Scandinavian antiquarian aggregator infrastructure, horizontal marketplace spillover, and dense single-store antiquarian inventory.","Pass169 Sweden hardening/backfill. Broad Sweden is now sufficiently covered; future work should be targeted to ISBN/detail extraction from Bokbörsen, Studentapan, Campusbokhandeln, Bookis, Antikvariat.net, and Bokliv, plus monitoring for new Sweden-native app/P2P rails or operator-status changes."
Switzerland,DACH,single-store used booksellers,annex / classifieds; annex / horizontal marketplace; annex / social classifieds; comparator / discovery infrastructure; legacy / closed marketplace; main universe; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; used-book signal (territory note); weak-fit core,24,25,5,1,6,3,0,5,Pass180 hardened Switzerland from DACH-matrix residue into a source-backed mixed territory. Strict/main now rests on Switzerland-facing ZVAB/booklooker/Buchfreund/Antiqbook plus native Loopsy; Exsila is legacy/closed as of 2025-12-31; Ricardo/tutti/Galaxus remain annex/horizontal.,2,high:16; medium:2; medium-high:7,"Mixed but mature DACH/Swiss recommerce territory: several Switzerland-facing book-specific marketplace rails, one native schoolbook marketplace, strong secondhand/antiquarian store layer, and horizontal classifieds/retailer spillover. Not as native-platform dense as Germany, but no longer merely a vague used-book signal.","Pass180 Switzerland hardening/opening. Promoted ZVAB Swiss dealer surface, booklooker, Buchfreund, Antiqbook, and Loopsy to strict/main; demoted Exsila to legacy/closed; retained Ricardo/tutti/Galaxus as annex/horizontal; added Buchplanet, Bücher-Brocky, Melando, Bourse aux livres, Livres-occaz, Les Recyclables, EOS, and Eurobuch comparator support."
Syria,Levant / Mashriq,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; used-book signal (territory note); weak-fit core,17,17,0,3,1,3,0,8,"Pass120 confirms Syria has real used-book circulation through Bando city categories, Facebook used-book/social exchange groups, Dar al-Watha’iq Aleppo, and Damascus street/vendor seams; none yet provides independent strict-main marketplace mechanics.",1,high:3; low:1; medium:7; medium-high:6,"Syria is now a post-reopening weak-fit/classifieds/social used-book territory: book fairs and bookstore ecommerce are strengthening, and used-book circulation is visible through Bando and Facebook/Damascus-Aleppo groups, but strict platform evidence remains absent.","After pass120, Syria is targeted medium-high revisit only: reopen for independent book-specific used/recommerce platform or direct seller/listing/payment mechanics beyond Bando/Facebook/social groups."
São Tomé and Príncipe,Gulf of Guinea / Lusophone Atlantic,single-store bookstore layer,annex / classifieds; annex / diaspora spillover; offline fair/literacy layer; single-store bookstore layer,8,8,0,0,0,2,0,2,"Resale evidence is weak/social/generic only: general buy-sell/trade group, generic Facebook Marketplace books category, and diaspora rare-book platforms. No local book-specific used marketplace verified.",0,low:4; medium:1; medium-high:1; medium-low:2,Thin Lusophone island market with a meaningful bookstore/online-order anchor but no verified resale marketplace mechanics.,"Compact pass 1 found no strict main-universe site. Revisit should focus on São Tomé student textbook resale, WhatsApp/Facebook groups, and whether Livraria Nón or local sellers handle used/consignment inventory."
Taiwan,East Asia,main universe,annex / classifieds; main universe; offline / fair / literacy layer; single-store used booksellers; weak-fit core,8,8,3,2,1,0,0,1,,1,high:7; medium:1,"Dense main-universe territory with strong dedicated online book rails, explicit used-book market infrastructure, and a meaningful ebook-specialist shadow layer.","Taiwan resolves as a clear main-universe territory: 博客來 and 金石堂 anchor the mainstream online book channel, while TAAZE adds dense used-book / seller-marketplace depth."
Tajikistan,Central Asia,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; weak-fit core,9,9,0,3,0,2,0,3,Pass 90 added Arzon.tj as a second horizontal classifieds rail and hardened Somon app evidence; no book-specific strict core found.,1,high:4; medium:4; medium-low:1,"Tajikistan remains classifieds-led: Somon and Arzon provide broad used/new ad rails, while KITOBZ/KITOBTJ are weak online-book rails without strict used marketplace proof.",Future work should be low-priority unless a Tajik book-specific sell/exchange platform appears.
Tanzania,East Africa,single-store used bookseller,annex / classifieds; single-store bookstore layer; single-store used bookseller; weak-fit regional pre-loved book rail,12,12,0,0,0,1,0,3,"Strong used/pre-loved book ecology across A Novel Idea, BayreBooks, Book Deal, Lee Books, Bookworms/Vitabu social sellers, READ sales, Books First regional pre-loved supply, Jiji/Loozap classifieds and book-specific social group; no book-specific third-party marketplace verified.",0,high:2; medium:6; medium-high:4,"Tanzania has a dense but non-platformized used/pre-loved book layer: local single-operator used-book shops, social sellers, a book-specific Facebook group, general classifieds and a regional East Africa pre-loved supply rail. The strict-main gate remains closed because there is no verified Tanzania-native standalone book-specific third-party used/recommerce marketplace with seller onboarding/listing/payment mechanics.","Pass135 hardened Tanzania: BayreBooks upgraded to single-store used-book signal; Books First Africa, Loozap, Bookworms Tanzania and Vitabu Corner added; A Novel Idea/Jiji/The Book Deal/book group rechecked; downgraded to targeted medium cleanup."
Thailand,Southeast Asia,annex / classifieds,annex / classifieds; main universe; offline / fair / literacy layer; single-store used booksellers; weak-fit core,16,16,1,3,5,0,0,6,Reshelf is a book-specific secondhand marketplace candidate; Kaidee/Shopee/Lazada/Facebook groups provide horizontal/social used-book depth; Dasa/GetBookie/ChantraBook/A Lot of Books/Lungthong are single-operator used-book layers.,1,high:9; medium:3; medium-high:4,Thailand now has one strict/main secondhand-book marketplace candidate plus strong single-operator and horizontal/social shadow layers.,"Pass144: Reshelf promoted as strict/main candidate; existing Thailand spine source-backed; added Thryft Thailand-facing weak-fit rail, GetBookie/ChantraBook/A Lot of Books/Lungthong used-bookstores, and Shopee/Lazada/Facebook social-marketplace spillover. No broad reopen absent fresh Reshelf mechanics or a new book-specific platform."
The Bahamas,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; weak-fit core,5,5,0,2,0,0,0,2,,1,high:2; medium:3,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,"Explicit weak-fit core in checkpoint matrix. || curated hubs, not open marketplace"
The Gambia,West Africa,annex / classifieds,annex / classifieds; single-store bookstore layer; weak-fit core,9,9,0,1,0,2,0,6,Used-book signal is present in general/social classifieds: Facebook Marketplace Banjul/Bakau and broader Gambia buy/sell posts; no book-dominant or book-specific used marketplace was confirmed.,0,high:1; low:3; medium:5,Weak-fit/classifieds-led market with a real bookstore layer. Keep out of strict main universe until a native used-book or seller-onboarding book marketplace is found.,Compact pass 1 found no strict main-universe site. Revisit should focus on Greater Banjul student-textbook resale and WhatsApp/Facebook book-trade groups.
Timor-Leste,Southeast Asia,single-store bookstore layer,single-store bookstore layer,2,2,0,0,0,2,0,0,,0,medium:2,Territory anchored mainly by bookstore layer rather than marketplace depth.,Current-session controlled pass.
Togo,West Africa,annex / classifieds,annex / classifieds; single-store bookstore layer; single-store used / bookstore signal; single-store used booksellers,4,4,0,0,1,1,1,1,"single-store used booksellers: A Vendre Lomé Livres | single-store used / bookstore signal: Star Librairie / Librairie Star | annex / classifieds: CoinAfrique Togo — DVDs, CDs & Livres",0,high:1; low:1; medium:2,"Weak-fit / mixed book-forward territory with classifieds, bookstore, and/or used-book signals but limited strict marketplace evidence.",Runtime-gap bridge reconstruction pass. Rows are web-reverified in this chat and do not recover exact missing 2026-04-24 chat-only rows.
Trinidad and Tobago,Caribbean,offline / fair / literacy layer,annex / classifieds; main universe; offline / fair / literacy layer; single-store used / bookstore signal,5,5,1,0,0,0,1,1,,2,high:1; medium:4,Main-universe territory with supporting lower layers preserved in the compile.,strongest Caribbean specialist-platform case in this run
Tunisia,North Africa / Maghreb,weak-fit core,offline / fair / literacy layer; single-store used booksellers; weak-fit core,6,6,0,4,1,0,0,0,,1,high:6,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,"Multiple native online rails, a dedicated used-book marketplace, and official Tunis International Book Fair infrastructure make Tunisia a real weak-fit core / used-book-plus-fair territory without yet clearing main-universe depth."
Turkey,Greece-Cyprus-Turkey,main universe,main universe; offline / fair / literacy layer,3,3,2,0,0,0,0,0,Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible.,1,high:3,Strict main-universe territory after hardening.,Also summarized in reconstructed transcript bundle. | Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible.
Turkmenistan,Central Asia,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; weak-fit core,15,15,0,4,0,3,0,7,"Pass 90 added current app-level horizontal marketplace rails Saraý, Gerekli, KomekciTM and Sanly Bazar; none are book-specific used/recommerce core.",1,high:4; medium:8; medium-high:1; medium-low:2,"Turkmenistan has broad active marketplace/ecommerce rails plus bookstores, but the sweep found no dedicated online used-book marketplace; strict core remains empty.",Selective future check: book-category evidence inside Saraý/Gerekli/KomekciTM/Sanly Bazar; do not promote horizontal marketplaces without book-specific used/exchange rails.
Turks and Caicos,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,5,5,0,0,0,0,2,2,,1,medium:5,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",small bookstore + classifieds + library
U.S. Virgin Islands,Caribbean,single-store used / bookstore signal,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,9,9,0,0,0,0,4,2,,3,medium:9,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",no strong native specialist marketplace; strong bookstore layer; active generic-resale annex; very strong literary / library / exchange infrastructure
Uganda,East Africa,annex / classifieds,annex / classifieds; single-store bookstore layer; single-store used bookstore signal; weak-fit core,8,8,0,1,0,2,0,4,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,high:3; low-medium:2; medium:2; medium-high:1,"Uganda has dense general classifieds and a strong bookstore layer, but no book-specific used marketplace verified; Luwum Street and social/classified school-book rails need offline follow-up.",Search for book-only Ugandan Facebook/WhatsApp resale groups and textbook exchange surfaces; verify Luwum Street cluster and any online seller aggregation.
United Arab Emirates,Gulf / Arabian Peninsula,weak-fit core,annex / classifieds; main universe; offline / fair / literacy layer; single-store used / bookstore signal; single-store used booksellers; weak-fit core,11,11,1,4,2,0,1,1,Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible.,2,high:8; medium:3,Strict main-universe territory after hardening.,"United Arab Emirates closes after pass 1 on Magrudy's + Jarir + Virgin + Bookspoint as the core rails, BookHero as the specialist used-book seam, dubizzle as horizontal spillover, and Abu Dhabi + Sharjah as the unusually strong fair/literacy layer. | Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible."
United Kingdom,Western Europe,main universe,annex / classifieds; annex / horizontal marketplace; main universe; single-store used booksellers; weak-fit core,54,54,19,19,11,0,0,1,"Pass165 final UK cleanup added ABA Book Search as strict/main; recorded BookSwap, ReadItSwapIt, and Escape with a Good Book as swap/current-status holds or emerging weak-fit rails; added The Monster Bookshop as a large-seller layer; and added viaLibri as UK-relevant global comparator/catalogue infrastructure. ISBN rule applied with Monster Bookshop ISBN/EAN sample and ISBN-search/capability notes for viaLibri.",0,high:42; medium-high:8; medium:4,"Very mature and now saturated UK used-book/recommerce ecosystem with national buyback rails, book-specific marketplaces, association-mediated antiquarian inventories, reader-to-reader and swap-current-status rails, charity/reuse, institutional surplus, large seller, comparator, and horizontal spillover layers.",UK explicitly closed after pass165 final cleanup except for evidence-triggered reopenings; do not keep running broad UK passes.
Uruguay,South America,main universe,main universe,2,2,2,0,0,0,0,0,,0,high:2,Main-universe territory with supporting lower layers preserved in the compile.,Recomputed from normalized explicit-row compile.
